,FECHA,WELL,FRECUENCIA,% THD-VOL IN VSD,% THD-AMP IN VSD,PF IN VSD,% THD-VOL OUT VSD,% THD-AMP OUT VSD,PF OUT VSD,VOL MTR A,VOL MTR B,VOL MTR C,VOL MTR A-Tierra,VOL MTR B-Tierra,VOL MTR C-Tierra,% THD-AMP MTR,PF MTR,MAX VOL IN VSD,MAX AMP IN VSD,MAX VOL OUT VSD,RED KVA,%RED KVA,RED KW,MAX AMP OUT VSD,% LOAD VSD,KVA VSD,KVA SUT,% LOAD SUT,AMP MOTOR,% LOAD MTR,% DESB MTR,VOL-A CON D,AMP-A CON D,VOL-B CON D,AMP-B CON D,VOL-C CON D,AMP-C CON D,%THD VOL CON D,%THD AMP CON D,P.F. CON D,VOL-A CON Y,AMP-A CON Y,VOL-B CON Y,AMP-B CON Y,VOL-C CON Y,AMP-C CON Y,%THD VOL CON Y,%THD AMP CON Y,P.F. CON Y,PIP (psi),T Motor (F),KW-BBL
33,2022-01-06,TRD-04,53.0,8.3,39.0,0.911,5.0,11.6,0.653,2990.0,2980.0,2975.0,1725.0,1742.0,1700.0,0.0,0.0,476.0,467.0,431.0,384.56516,,350.33886076,672.0,93.07479224376732,501.06336,501.06336,50.106336,88.0,77.19298245614034,1.930501930501936,486.0,486.0,486.0,427.0,450.0,455.0,8.3,39.0,0.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.6,250.2,
34,2022-04-09,TRD-04,53.0,8.3,39.0,0.911,5.0,11.6,0.653,3008.0,3010.0,3007.0,1732.0,1753.0,1720.0,0.0,0.0,485.0,458.0,437.0,384.2849000000001,,350.0835439000001,705.0,97.64542936288089,532.9870500000001,532.9870500000001,53.298705,87.0,76.31578947368422,1.953125000000006,486.0,486.0,486.0,427.0,450.0,455.0,8.3,39.0,0.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.2,250.1,
35,2022-04-23,TRD-04,53.0,9.3,35.6,0.921,4.6,11.6,0.662,2939.0,2935.0,2918.0,1690.0,1706.0,1660.0,0.0,0.0,485.0,458.0,428.6,384.2849000000001,,353.9263929000001,681.0,94.3213296398892,504.946518,504.946518,50.4946518,85.9,75.35087719298245,2.173913043478255,475.7,474.0,475.8,458.0,456.0,434.0,9.3,35.6,0.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.9,250.1,
36,2022-05-04,TRD-04,53.0,8.200000000000001,39.4,0.916,3.2,6.2,0.662,2942.0,2940.0,2924.0,1690.0,1710.0,1672.0,0.0,0.0,478.0,464.0,435.0,383.70016,,351.46934656,659.0,91.27423822714681,495.93045,495.93045,49.593045,85.0,74.56140350877193,1.590457256461227,475.7,474.0,475.8,458.0,456.0,434.0,9.3,35.6,0.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.8,250.1,
37,2022-10-11,TRD-04,53.0,8.200000000000001,39.4,0.916,2.9,5.899999999999999,0.663,3025.0,3018.0,3003.0,1748.0,1760.0,1713.0,0.0,0.0,478.0,464.0,434.0,383.70016,,351.46934656,652.0,90.30470914127424,489.53464,489.53464,48.953464,87.1,76.40350877192982,1.475728155339805,478.0,477.5,478.0,457.0,460.0,438.0,7.7,42.4,0.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,250.0,
38,2022-10-25,TRD-04,53.0,7.6,41.2,0.9,4.5,10.3,0.67,3005.0,3001.0,3000.0,1735.0,1761.0,1715.0,0.0,0.0,478.0,467.0,435.0,386.18098,,347.562882,652.0,90.30470914127424,490.6626,490.6626,49.06626,87.0,76.31578947368422,1.953125000000006,478.0,477.5,478.0,457.0,460.0,438.0,7.7,42.4,0.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.0,250.3,
39,2022-11-02,TRD-04,52.0,7.6,41.2,0.9,5.4,8.799999999999999,0.623,3006.0,3006.0,2991.0,1740.0,1755.0,1718.0,0.0,0.0,478.0,467.0,434.7,386.18098,,347.562882,672.0,93.07479224376732,505.3648319999999,505.3648319999999,50.53648319999999,87.5,76.75438596491229,2.259446825087656,478.4,478.3,477.0,421.0,448.0,438.0,7.6,42.5,0.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.0,250.3,
40,2022-12-05,TRD-04,53.0,7.399999999999999,40.5,0.9,4.8,7.8,0.64,3011.0,3012.0,2993.0,1731.0,1755.0,1709.0,0.0,0.0,478.0,469.0,434.0,387.83486,,349.051374,682.0,94.45983379501385,512.05924,512.05924,51.205924,87.0,76.31578947368422,1.873536299765818,478.4,478.3,477.0,421.0,448.0,438.0,7.6,42.5,0.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.7,249.8,
41,2022-12-09,TRD-04,48.0,7.399999999999999,40.5,0.9,2.9,4.100000000000001,0.546,2914.0,2911.0,2904.0,1689.0,1697.0,1656.0,0.0,0.0,478.0,469.0,421.0,387.83486,,349.051374,633.0,87.67313019390582,461.03289,461.03289,46.103289,87.0,76.31578947368422,1.953125000000006,478.4,478.3,478.0,383.0,382.0,366.0,7.5,45.4,0.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.0,245.0,
42,2022-12-13,TRD-04,51.0,7.1,44.4,0.91,3.4,4.399999999999999,0.64,2832.0,2818.0,2814.0,1637.0,1630.0,1610.0,0.0,0.0,478.0,416.0,389.0,344.00704,,313.0464064,628.0,64.08163265306122,422.62516,422.62516,42.262516,81.8,63.41085271317829,1.783492326835325,478.4,478.3,478.0,383.0,382.0,366.0,7.5,45.4,0.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.9,247.0,
43,2022-12-14,TRD-04,53.0,7.1,42.5,0.905,4.8,4.8,0.68,2945.0,2932.0,2926.0,1698.0,1712.0,1669.0,0.0,0.0,480.0,453.0,404.0,376.1712,,340.4349360000001,674.0,68.77551020408164,471.07208,471.07208,47.107208,85.5,75.0,1.462450592885377,478.4,478.3,478.0,383.0,382.0,366.0,7.5,45.4,0.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.9,247.1,
44,2023-03-07,TRD-04,56.5,9.700000000000001,37.0,0.921,6.3,4.8,0.717,3123.0,3136.0,3115.0,1806.0,1823.0,1778.0,0.0,0.0,478.0,527.0,431.0,435.79738,,401.36938698,708.0,72.24489795918367,527.9060400000001,527.9060400000001,52.79060400000001,0.0,0.0,2.298850574712644,478.4,478.3,478.0,383.0,382.0,366.0,7.5,45.4,0.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,255.0,
45,2023-03-07,TRD-04,56.5,9.700000000000001,37.0,0.921,6.3,4.8,0.717,3123.0,3136.0,3115.0,1806.0,1823.0,1778.0,0.0,0.0,478.0,527.0,431.0,435.79738,,401.36938698,708.0,72.24489795918367,527.9060400000001,527.9060400000001,52.79060400000001,0.0,0.0,2.298850574712644,478.4,478.3,478.0,383.0,382.0,366.0,7.5,45.4,0.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,255.0,
46,2023-05-11,TRD-04,56.5,9.700000000000001,37.0,0.921,22.0,8.200000000000001,0.68,3187.0,3160.0,3325.0,1932.0,1824.0,1829.0,0.0,0.0,478.0,527.0,459.9,435.79738,,401.36938698,722.0,73.67346938775509,574.4426940000001,574.4426940000001,57.4442694,89.0,78.0701754385965,2.298850574712644,478.4,473.0,473.0,722.0,690.0,691.0,9.5,36.0,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,255.0,
47,2015-08-25,TRD-05,35.0,16.6,33.6,0.81,30.0,23.8,0.77,1875.0,1871.0,1862.0,1077.0,1080.0,1077.0,0.0,0.0,481.0,273.0,270.0,227.17149,36.05896666666666,184.0089069,304.0,33.77777777777778,518.0,141.9984,22.53942857142857,42.0,34.14634146341464,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1792.0,234.0,
48,2015-08-26,TRD-05,36.0,16.6,33.6,0.81,30.0,23.8,0.77,1920.0,1920.0,1917.0,1110.0,1110.0,1107.0,0.0,0.0,481.0,293.0,277.0,243.81409,38.7006492063492,197.4894129,317.0,35.22222222222222,518.0,151.90957,24.11263015873016,44.0,40.74074074074074,6.399999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770.0,235.8,
49,2015-08-27,TRD-05,37.0,16.6,33.6,0.81,30.0,23.8,0.77,1973.0,1970.0,1962.0,1140.0,1142.0,1136.0,0.0,0.0,480.0,303.0,285.0,251.6112,39.93828571428572,203.805072,392.0,43.55555555555555,518.0,193.2756,30.67866666666666,45.0,41.66666666666667,5.384615384615389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722.0,237.1,
50,2015-08-27,TRD-05,37.0,16.6,33.6,0.81,30.0,23.8,0.77,1973.0,1970.0,1962.0,1140.0,1142.0,1136.0,0.0,0.0,480.0,303.0,285.0,251.6112,39.93828571428572,203.805072,392.0,43.55555555555555,518.0,193.2756,30.67866666666666,45.0,41.66666666666667,5.384615384615389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722.0,237.1,
